Gene	C12
C12_Sobic.001G271600	0
C12_Sobic.001G273500	0
C12_Sobic.001G274400	0
C12_Sobic.001G275500	0
C12_Sobic.001G276300	0
C12_Sobic.001G276600	0
C12_Sobic.001G277000	1
C12_Sobic.001G277300	0
C12_Sobic.001G279200	0
C12_Sobic.001G281800	1
C12_Sobic.001G282400	0
C12_Sobic.001G282800	0
C12_Sobic.001G283300	0
C12_Sobic.001G284400	0
C12_Sobic.001G284475	0
C12_Sobic.001G284500	1
C12_Sobic.001G285400	4
C12_Sobic.001G286000	0
C12_Sobic.001G286600	0
C12_Sobic.001G286700	1
C12_Sobic.001G287101	0
C12_Sobic.001G287301	0
C12_Sobic.001G288800	0
C12_Sobic.001G289200	0
C12_Sobic.001G289500	0
C12_Sobic.001G290766	1
C12_Sobic.001G290832	0
C12_Sobic.001G291200	0
C12_Sobic.001G294100	0
C12_Sobic.001G294400	1
C12_Sobic.001G295000	0
C12_Sobic.001G295100	0
C12_Sobic.001G295500	0
C12_Sobic.001G295800	0
C12_Sobic.001G296000	0
C12_Sobic.001G296700	0
C12_Sobic.001G296800	0
C12_Sobic.001G297000	0
C12_Sobic.001G297200	1
C12_Sobic.001G297600	0
C12_Sobic.001G298400	0
C12_Sobic.001G298800	0
C12_Sobic.001G302666	0
C12_Sobic.001G302800	1
C12_Sobic.001G303000	0
C12_Sobic.001G304100	0
C12_Sobic.001G304600	0
C12_Sobic.001G305100	0
C12_Sobic.001G305700	0
C12_Sobic.001G309300	0
C12_Sobic.001G309600	0
C12_Sobic.001G309732	0
C12_Sobic.001G310000	1
C12_Sobic.001G310300	0
C12_Sobic.001G310700	0
C12_Sobic.001G311000	0
C12_Sobic.001G311833	0
C12_Sobic.001G312600	0
C12_Sobic.001G313900	0
C12_Sobic.001G314200	1
C12_Sobic.001G314300	0
C12_Sobic.001G316300	0
C12_Sobic.001G316400	0
C12_Sobic.001G316500	0
C12_Sobic.001G316800	0
C12_Sobic.001G317600	0
C12_Sobic.001G318100	0
C12_Sobic.001G320700	0
C12_Sobic.001G321000	1
C12_Sobic.001G321800	0
